Date,PinCode,Location,Temperature
4/19/2020,47401,"Bloomington,IN",51
4/20/2020,10001,NewYork,43
4/21/2020,47401,"Bloomington,IN",32
4/22/2020,47401,"Bloomington,IN",67
4/23/2020,47401,"Bloomington,IN",55
4/24/2020,47401,"Bloomington,IN",68
4/24/2020,47401,"Bloomington,IN",68
4/24/2020,47401,"Bloomington,IN",66
4/24/2020,47401,"Bloomington,IN",67
4/24/2020,47401,"Bloomington,IN",67
4/24/2020,47401,"Bloomington,IN",67
4/24/2020,47401,"Bloomington,IN",67
4/24/2020,47401,"Bloomington,IN",67
4/24/2020,47401,"Bloomington,IN",67
4/24/2020,47401,"Bloomington,IN",64
4/24/2020,47401,"Bloomington,IN",64
4/24/2020,47401,"Bloomington,IN",64
4/24/2020,47401,"Bloomington,IN",62
4/24/2020,47401,"Bloomington,IN",62
4/24/2020,10001,NewYork,50
4/24/2020,47401,"Bloomington,IN",54
4/24/2020,10003,NewYork,50
4/24/2020,47401,"Bloomington,IN",54
4/24/2020,5751,"Killington,VT",39
4/24/2020,47401,"Bloomington,IN",53
4/24/2020,10001,NewYork,48
4/24/2020,2136,"HydePark,",38
4/24/2020,10002,NewYork,45
4/24/2020,10002,"NewYorkCity,NY",45
4/24/2020,2136,"HydePark,MA",38
4/25/2020,47401,"Bloomington,IN",58
4/25/2020,10001,"NewYorkCity,NY",55
5/6/2020,47401,"Bloomington,IN",42
5/6/2020,47401,"Bloomington,IN",42
8/6/2020,47408,"Bloomington,IN",70
8/6/2020,47408,"Bloomington,IN",70
8/6/2020,10001,"NewYorkCity,NY",77
8/6/2020,10001,"NewYorkCity,NY",77
